"Stadtname";"Stadtkat_cd";"Stadtkat";"arbeitslose_total";"al_frauen";"al_2sektor";"al_3sektor";"ganzzeit_al_total";"ganzzeit_al_fr";"teilzeit_al_total";"teilzeit_al_fr";"al_quote";"Variationskoeffizient"
"Basel";1;"100000 und mehr";3240;1385;499;2224;2775;1013;466;372;3.9;"B"
"Bern";1;"100000 und mehr";2012;917;270;1674;1577;592;435;325;2.8;"B"
"Genève";1;"100000 und mehr";6547;3067;530;4294;6080;2710;467;357;6.5;"B"
"Lausanne";1;"100000 und mehr";4582;2021;600;3714;4126;1648;456;373;6.7;"B"
"Winterthur";1;"100000 und mehr";1790;821;296;1252;1490;585;299;236;3.2;"B"
"Zürich";1;"100000 und mehr";7446;3452;748;5749;6378;2623;1068;829;3.3;"A"
"Biel-Bienne";2;"50000–99999";1027;410;274;662;877;296;151;114;4;"C"
"Lugano";2;"50000–99999";1408;636;170;981;1238;513;170;124;5.2;"C"
"Luzern";2;"50000–99999";1114;505;169;747;960;376;154;129;2.4;"C"
"St. Gallen";2;"50000–99999";1183;577;241;918;1080;491;104;86;2.8;"C"
"Baar";3;"20000–49999";238;102;46;162;202;71;36;31;1.9;"C"
"Carouge (GE)";3;"20000–49999";749;360;85;456;689;313;61;47;6.8;"C"
"Chaux-de-Fonds, La";3;"20000–49999";1121;506;370;573;1022;424;99;82;5.9;"C"
"Chur";3;"20000–49999";373;149;84;258;319;112;55;37;2.1;"C"
"Dietikon";3;"20000–49999";598;288;106;463;547;246;51;42;5;"C"
"Dübendorf";3;"20000–49999";471;215;64;325;464;210;6;5;3.2;"C"
"Emmen";3;"20000–49999";536;254;118;300;435;171;101;83;3.4;"C"
"Frauenfeld";3;"20000–49999";295;145;74;168;235;91;59;53;2.3;"C"
"Fribourg";3;"20000–49999";795;336;117;483;682;253;113;83;4.3;"C"
"Kriens";3;"20000–49999";345;160;63;230;301;127;44;33;2.6;"C"
"Köniz";3;"20000–49999";533;239;87;424;401;127;132;112;2.6;"C"
"Lancy";3;"20000–49999";757;361;89;486;693;306;64;56;5.3;"C"
"Meyrin";3;"20000–49999";631;295;76;395;575;242;56;53;5.9;"C"
"Montreux";3;"20000–49999";681;305;83;562;606;242;75;63;6;"C"
"Neuchâtel";3;"20000–49999";1014;466;194;630;914;383;100;83;5.8;"C"
"Rapperswil-Jona";3;"20000–49999";322;146;77;244;252;94;70;53;2.1;"C"
"Renens (VD)";3;"20000–49999";654;287;125;445;607;246;48;41;6.5;"C"
"Riehen";3;"20000–49999";179;86;24;130;144;54;35;32;1.8;"C"
"Schaffhausen";3;"20000–49999";477;196;114;297;430;157;47;39;2.4;"C"
"Sion";3;"20000–49999";671;310;126;462;591;240;80;70;4.4;"C"
"Thun";3;"20000–49999";521;267;94;419;446;207;74;60;2.2;"C"
"Uster";3;"20000–49999";598;280;94;397;483;186;115;95;3.1;"C"
"Vernier";3;"20000–49999";1148;527;136;686;1068;466;80;61;7.1;"C"
"Wetzikon (ZH)";3;"20000–49999";425;191;102;298;366;143;59;48;3.2;"C"
"Wädenswil";3;"20000–49999";348;170;83;258;301;133;48;36;3;"C"
"Yverdon-les-Bains";3;"20000–49999";891;405;174;679;790;316;101;89;6.4;"C"
"Zug";3;"20000–49999";327;135;56;222;276;94;51;41;2.2;"C"
"Aarau";4;"15000–19999";308;136;58;238;266;105;42;31;2.7;"C"
"Adliswil";4;"15000–19999";280;120;40;177;237;86;44;34;3.4;"D"
"Allschwil";4;"15000–19999";325;153;43;214;254;91;70;63;3.3;"D"
"Baden";4;"15000–19999";302;145;40;208;256;105;46;40;2.8;"C"
"Bellinzona";4;"15000–19999";397;187;79;266;345;147;52;40;4.8;"D"
"Bulle";4;"15000–19999";250;127;55;191;215;99;35;28;2.4;"C"
